,accuracy,f1_macro,roc_auc_ovr
RandomForest,0.8866666666666667,0.8582260152879829,0.9522572950547653
GradientBoosting,0.8723333333333333,0.8421000777928396,0.9490419790759755
DecisionTree,0.795,0.7366378285483551,0.8569727156746758
LogisticRegression,0.7236666666666667,0.6651282116538167,0.848115381301981
Dummy_stratified,0.4083333333333333,0.3332459249497699,0.49986112681126466
